VENDOR_ID|VENDOR_DESC|DUN|ADDR_ID|STREET|CITY|STATE_CODE|COUNTRY_CODE|ZIP_CODE|DELETION_FLAG|REMITTO_ADDR_ID|REMITTO_STREET|REMITTO_CITY|REMITTO_CITY|REMITTO_STATE_CODE|REMITTO_COUNTRY_CODE|REMITTO_ZIP_CODE
0000000002|Description : 0000000002||0000063051|Industriestrasse 19|Berlin|NZ|US|9388412976||0000006953|Kolping Str. 15|Berlin|Berlin|YL|US|2284748409
0000000002|Description : 0000000002|410010667|0000368643|Industriestrasse 19|ATLANTA|BC|FR|0492954350||7000006953|Kolping Str. 15|ATLANTA|ATLANTA|LC|US|5994211362
0000000004|Description : 0000000004||0000634905|1 Unter den Linden|Berlin|BC|EN|7244069734|X|0000006954|Kolping Str. 15|Detroit|Detroit|YL|DE|7672747351
0000000002|Description : 0000000002||0000489194|Industriestrasse 19|Berlin|NZ|CH|2569230702||1000006953|Ersinger straße 23|Detroit|Detroit|YL|PK|4172021593
0000000002|Description : 0000000002||0000468215|Fasanenstr. 8|ATLANTA|MN|EN|8921753053||0000006953|Kolping Str. 15|Berlin|Berlin|MZ|PK|3202340715
0000000002|Description : 0000000002||0000135028|1 Unter den Linden|Delhi|BC|EN|2900802637||1000006953|Kolping Str. 15|Berlin|Berlin|KN|PK|7799047105
0000000003|Description : 0000000003||0000986794|1 Unter den Linden|Detroit|NZ|DE|8042420465||1000006953|St. Michael stree|Delhi|Delhi|MZ|PK|3943765927
0000000002|Description : 0000000002|410010667|0000842895|Industriestrasse 19|Detroit|MN|US|3197930980|X|0000006954|St. Michael stree|Delhi|Delhi|YL|US|2014362992
0000000004|Description : 0000000004||0000738150|Fasanenstr. 8|Berlin|MN|EN|3889323194||0000006954|Ersinger straße 23|Berlin|Berlin|KN|PK|5335234354
0000000003|Description : 0000000003|210010661|0000093162|Industriestrasse 19|Detroit|NZ|CH|1227175737||7000006953|Ersinger straße 23|Delhi|Delhi|KN|IN|0301689133
0000000003|Description : 0000000003||0000385103|1 Unter den Linden|ATLANTA|BC|CH|2058080919||0000006954|St. Michael stree|Delhi|Delhi|KN|IN|5761925587
0000000003|Description : 0000000003|410010667|0000761570|Fasanenstr. 8|Detroit|BC|US|6697263562||1000006953|Kolping Str. 15|Detroit|Detroit|KN|CH|0811606072
0000000002|Description : 0000000002||0000422153|Industriestrasse 19|ATLANTA|MN|EN|6290044788||0000006954|Kolping Str. 15|ATLANTA|ATLANTA|BZ|IN|1107824236
0000000002|Description : 0000000002||0000732808|Fasanenstr. 8|Delhi|BC|CH|9279574214||7000006953|Kolping Str. 15|Delhi|Delhi|KN|DE|6287281809
0000000003|Description : 0000000003||0000774160|1 Unter den Linden|Detroit|AZ|EN|7369670187||1000006953|Kolping Str. 15|ATLANTA|ATLANTA|BZ|CH|0670721604
0000000003|Description : 0000000003||0000187496|Industriestrasse 19|Berlin|KL|CH|2825301459||1000006953|St. Michael stree|Detroit|Detroit|YL|US|7593764887
0000000003|Description : 0000000003||0000042097|Fasanenstr. 8|Delhi|NZ|EN|0789638588||0000006953|Ersinger straße 23|Detroit|Detroit|MZ|CH|5498723254
0000000003|Description : 0000000003|210010661|0000579918|1 Unter den Linden|ATLANTA|MN|FR|8663983692|X|0000006954|St. Michael stree|Delhi|Delhi|YL|CH|6228965463
0000000003|Description : 0000000003||0000760386|Fasanenstr. 8|Delhi|AZ|DE|6082141979||1000006953|Ersinger straße 23|Delhi|Delhi|LC|PK|0797140902
0000000003|Description : 0000000003|210010661|0000690996|Industriestrasse 19|Detroit|MN|FR|7206685693||7000006953|Ersinger straße 23|ATLANTA|ATLANTA|LC|PK|1802957297
0000000003|Description : 0000000003||0000876730|Fasanenstr. 8|ATLANTA|BC|DE|3332595820||7000006953|Ersinger straße 23|Delhi|Delhi|MZ|DE|6114304843
0000000002|Description : 0000000002||0000030886|1 Unter den Linden|ATLANTA|AZ|FR|5170663231||0000006953|St. Michael stree|Berlin|Berlin|KN|DE|6247998764
0000000002|Description : 0000000002|210010661|0000383831|Fasanenstr. 8|Detroit|MN|US|8206067750||0000006954|Kolping Str. 15|Berlin|Berlin|BZ|CH|4636089035
0000000003|Description : 0000000003||0000907344|Industriestrasse 19|ATLANTA|BC|DE|9325557430||0000006954|Kolping Str. 15|Delhi|Delhi|MZ|US|0417832812
0000000004|Description : 0000000004|210010661|0000619192|Fasanenstr. 8|Delhi|AZ|CH|4401848221||0000006954|Ersinger straße 23|Delhi|Delhi|KN|DE|2408741986
0000000002|Description : 0000000002||0000957899|Fasanenstr. 8|Delhi|BC|EN|0865040099||0000006953|Ersinger straße 23|Delhi|Delhi|MZ|CH|2246586895
0000000003|Description : 0000000003|410010667|0000338452|Industriestrasse 19|Berlin|KL|CH|3652234010||7000006953|Ersinger straße 23|Delhi|Delhi|YL|US|7516610094
0000000002|Description : 0000000002|210010662|0000903011|1 Unter den Linden|Delhi|MN|US|9162970757|X|7000006953|Kolping Str. 15|ATLANTA|ATLANTA|LC|DE|4478610641
0000000002|Description : 0000000002||0000074215|Industriestrasse 19|Berlin|KL|DE|9041182644||0000006954|Kolping Str. 15|ATLANTA|ATLANTA|BZ|DE|1854510668
0000000001|Description : 0000000001||0000988413|1 Unter den Linden|Berlin|KL|US|7890551981||1000006953|St. Michael stree|Detroit|Detroit|YL|CH|9297833958
0000000002|Description : 0000000002||0000170415|Fasanenstr. 8|Delhi|AZ|US|1302931584||0000006953|St. Michael stree|Detroit|Detroit|LC|IN|2660116513
0000000003|Description : 0000000003||0000118100|Industriestrasse 19|Detroit|BC|FR|3305925247||7000006953|Kolping Str. 15|Detroit|Detroit|KN|DE|4501951584
0000000004|Description : 0000000004||0000119736|Industriestrasse 19|Detroit|KL|DE|9359107946||0000006954|St. Michael stree|ATLANTA|ATLANTA|KN|CH|2598887104
0000000003|Description : 0000000003|210010661|0000191524|Fasanenstr. 8|Delhi|NZ|CH|2484554839||0000006954|Ersinger straße 23|Berlin|Berlin|YL|IN|8225725040
0000000001|Description : 0000000001||0000156156|Fasanenstr. 8|ATLANTA|AZ|DE|6486540760||0000006953|Kolping Str. 15|Detroit|Detroit|YL|CH|7599976895
0000000002|Description : 0000000002|210010661|0000033253|1 Unter den Linden|Berlin|NZ|EN|5557040998||1000006953|Kolping Str. 15|Berlin|Berlin|BZ|IN|6172761976
0000000002|Description : 0000000002|210010662|0000678985|Fasanenstr. 8|Detroit|MN|FR|3343440133||7000006953|St. Michael stree|Delhi|Delhi|KN|PK|3464690301
0000000001|Description : 0000000001|210010661|0000614438|Industriestrasse 19|Berlin|BC|DE|2879671824||0000006954|St. Michael stree|Delhi|Delhi|YL|DE|2173252017
0000000004|Description : 0000000004|210010662|0000790617|Fasanenstr. 8|Berlin|BC|FR|8116133984||7000006953|St. Michael stree|Detroit|Detroit|YL|DE|7816351228
0000000002|Description : 0000000002|210010662|0000601236|Fasanenstr. 8|Berlin|BC|EN|8181559545||7000006953|St. Michael stree|Detroit|Detroit|MZ|CH|0336952324
0000000004|Description : 0000000004|410010667|0000141472|Industriestrasse 19|Delhi|MN|FR|1659577124|X|0000006953|Ersinger straße 23|ATLANTA|ATLANTA|KN|IN|6129825177
0000000004|Description : 0000000004||0000716864|1 Unter den Linden|ATLANTA|AZ|FR|2231037928||1000006953|St. Michael stree|Delhi|Delhi|MZ|US|8816520558
0000000003|Description : 0000000003|410010667|0000502276|1 Unter den Linden|Delhi|AZ|EN|6802204212||0000006954|Ersinger straße 23|Berlin|Berlin|YL|CH|7198034185
0000000003|Description : 0000000003||0000107468|1 Unter den Linden|Berlin|NZ|FR|7818881067||1000006953|Ersinger straße 23|Detroit|Detroit|BZ|US|0538803735
0000000002|Description : 0000000002||0000401253|Fasanenstr. 8|Delhi|BC|US|0404539709||0000006954|Kolping Str. 15|Berlin|Berlin|KN|DE|1631817171
0000000004|Description : 0000000004||0000230509|1 Unter den Linden|Detroit|AZ|FR|2914005182||1000006953|St. Michael stree|ATLANTA|ATLANTA|MZ|US|7167552862
0000000003|Description : 0000000003||0000974077|Fasanenstr. 8|Detroit|NZ|CH|9488687858||0000006954|Kolping Str. 15|Detroit|Detroit|YL|US|8417854632
0000000001|Description : 0000000001|410010667|0000499799|Fasanenstr. 8|Detroit|AZ|EN|8550154349||0000006954|Ersinger straße 23|Berlin|Berlin|KN|IN|9010991889
0000000004|Description : 0000000004||0000559502|1 Unter den Linden|Berlin|KL|CH|7012227612||0000006953|Ersinger straße 23|Detroit|Detroit|KN|PK|6196048283
0000000004|Description : 0000000004|210010661|0000078092|1 Unter den Linden|Berlin|KL|CH|4029747994||1000006953|Kolping Str. 15|ATLANTA|ATLANTA|YL|PK|0294873455
0000000001|Description : 0000000001||0000147551|1 Unter den Linden|Delhi|NZ|US|4788449938||0000006954|Kolping Str. 15|Detroit|Detroit|MZ|PK|8527786826
0000000001|Description : 0000000001|210010661|0000806338|1 Unter den Linden|Detroit|BC|US|9295139582||7000006953|Ersinger straße 23|Detroit|Detroit|YL|PK|0413579952
